,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Matara,LK,5.9485,80.5353,78.35,85,100,18.01,overcast clouds
272,Melendugno,IT,40.2747,18.3368,72.05,94,0,2.3,clear sky
273,Shelburne,CA,44.0787,-80.2041,59.76,52,0,12.77,clear sky
274,Riyadh,SA,24.6877,46.7219,82.54,11,0,7.52,clear sky
275,Nevesinje,BA,43.2586,18.1133,54.46,84,0,4.07,clear sky
276,Namibe,AO,-15.1961,12.1522,63.84,85,20,1.39,few clouds
277,Kutum,SD,14.2,24.6667,81.66,38,95,9.31,light rain
278,Port Hedland,AU,-20.3167,118.5667,73.45,78,75,16.11,broken clouds
279,Anadyr,RU,64.75,177.4833,23.5,93,40,6.71,scattered clouds
280,Panaba,MX,21.2833,-88.2667,87.28,50,73,12.77,broken clouds
281,Kavaratti,IN,10.5669,72.642,81.32,77,100,11.79,light rain
282,Hirara,JP,24.8,125.2833,81.41,70,5,11.03,clear sky
283,La Roche-Sur-Yon,FR,46.6667,-1.4333,61.32,100,100,6.91,overcast clouds
284,Veracruz,MX,19.3333,-96.6667,79.21,58,36,6.53,scattered clouds
285,Souillac,MU,-20.5167,57.5167,71.98,68,75,9.22,broken clouds
286,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,75,20.0,light intensity shower rain
287,San Quintin,MX,30.4833,-115.95,71.94,68,37,12.77,scattered clouds
288,Durham,US,36.0335,-78.8664,64.58,91,100,5.75,overcast clouds
289,Paracuru,BR,-3.41,-39.0306,80.11,65,11,17.09,few clouds
290,Ola,RU,59.5833,151.2833,30.15,58,100,8.23,overcast clouds
291,Te Anau,NZ,-45.4167,167.7167,38.44,94,97,1.81,overcast clouds
292,Talnakh,RU,69.4865,88.3972,29.21,95,67,9.55,broken clouds
293,Cintalapa,MX,16.6951,-93.7272,76.42,67,100,9.15,overcast clouds
294,Ponta Delgada,PT,37.7333,-25.6667,76.5,83,20,11.5,few clouds
295,San Jose,US,37.3394,-121.895,76.53,57,20,4.61,few clouds
296,Nizhniy Kuranakh,RU,58.8353,125.4869,23.49,94,100,5.77,light snow
297,Bud,US,39.447,-86.1758,72.86,56,0,14.65,clear sky
298,San Francisco,US,37.7749,-122.4194,75.06,65,40,9.22,scattered clouds
299,Khani,GE,41.9563,42.9566,69.37,52,100,4.97,overcast clouds
300,Mombetsu,JP,44.3525,143.3525,55.81,90,4,5.66,clear sky
301,Dalby,AU,-27.1833,151.2667,46.98,98,50,8.37,scattered clouds
302,Mecca,SA,21.4267,39.8261,83.1,48,0,1.52,clear sky
303,Bereda,ES,43.2686,-7.5406,62.58,100,100,4.03,overcast clouds
304,Bengkulu,ID,-3.8004,102.2655,74.8,92,100,6.46,overcast clouds
305,Hai Duong,VN,20.9333,106.3167,78.8,95,6,3.58,clear sky
306,Iquitos,PE,-3.7481,-73.2472,82.44,69,75,10.36,broken clouds
307,Kuryk,KZ,43.2,51.65,64.94,25,15,26.31,few clouds
308,Aykhal,RU,66.0,111.5,19.63,94,99,12.03,overcast clouds
309,Iqaluit,CA,63.7506,-68.5145,33.53,64,75,15.01,broken clouds
310,Sioux Lookout,CA,50.1001,-91.917,64.47,55,20,5.75,few clouds
311,Severomuysk,RU,56.1481,113.4267,9.03,93,88,3.94,overcast clouds
312,Pindiga,NG,9.9833,10.9333,76.01,81,67,7.52,broken clouds
313,Monte Alegre,BR,-2.0078,-54.0692,96.82,34,100,3.24,overcast clouds
314,Gatton,AU,-27.55,152.2833,53.22,95,0,2.28,clear sky
315,Peniche,PT,39.3558,-9.3811,74.28,76,1,14.76,clear sky
316,Esperance,AU,-33.8667,121.9,53.37,79,81,17.43,broken clouds
317,Antofagasta,CL,-23.65,-70.4,60.08,62,29,8.63,scattered clouds
318,Tecoanapa,MX,16.5167,-98.75,84.7,66,31,7.9,scattered clouds
319,Maniitsoq,GL,65.4167,-52.9,35.65,60,100,2.28,overcast clouds
320,Hurricane,US,37.1753,-113.2899,82.51,44,30,2.19,scattered clouds
321,Gwadar,PK,25.1216,62.3254,80.19,79,0,7.9,clear sky
322,Visinesti,RO,45.1,25.55,56.55,63,75,5.32,broken clouds
323,Airai,TL,-8.9266,125.4092,61.99,90,100,1.19,overcast clouds
324,Orange,US,33.7,-117.7675,83.75,62,40,4.61,scattered clouds
325,Camana,PE,-16.6228,-72.7111,65.62,71,51,8.1,broken clouds
326,Kushima,JP,31.4583,131.2333,70.34,82,41,4.43,scattered clouds
327,Breves,BR,-1.6822,-50.4803,95.52,35,100,5.03,overcast clouds
328,Ofunato,JP,39.0717,141.7167,65.44,86,100,2.84,overcast clouds
329,Maceio,BR,-9.6658,-35.7353,81.84,65,20,12.66,few clouds
330,Rudnogorsk,RU,57.2639,103.7519,28.26,92,100,7.47,overcast clouds
331,Ebolowa,CM,2.9,11.15,68.41,99,46,2.57,scattered clouds
332,Bhainsdehi,IN,21.6467,77.6325,68.61,84,37,4.79,scattered clouds
333,Ukmerge,LT,55.25,24.75,48.67,83,100,1.97,overcast clouds
334,Bredy,RU,52.4153,60.3411,43.5,36,100,6.6,overcast clouds
335,Tullahoma,US,35.362,-86.2094,75.22,46,0,16.11,clear sky
336,Portland,US,45.5234,-122.6762,85.33,49,0,8.05,clear sky
337,Grand-Lahou,CI,5.1367,-5.0242,75.49,91,70,6.78,broken clouds
338,Eyl,SO,7.9803,49.8164,77.04,79,61,19.22,broken clouds
339,Butembo,CD,0.15,29.2833,58.6,97,75,2.28,light rain
340,Sri Aman,MY,1.2376,111.4621,73.45,100,100,0.0,light rain
341,Luderitz,NA,-26.6481,15.1594,62.1,65,0,13.65,clear sky
342,Mikuni,JP,36.2171,136.1519,67.91,77,100,9.28,overcast clouds
343,Bethel,US,41.3712,-73.414,56.48,59,100,13.8,overcast clouds
